Date,Actual,XGBoost_Predicted
2018-11-14,3205.36010742188,3226.349
2018-11-15,3190.31005859375,3217.2588
2018-11-16,3180.73999023438,3226.6274
2018-11-19,3160.330078125,3225.7007
2018-11-20,3116.07006835938,3215.2603
2018-11-21,3153.90991210938,3102.5947
2018-11-22,3126.669921875,3104.3032
2018-11-23,3137.2099609375,3118.261
2018-11-26,3172.7099609375,3110.6274
2018-11-27,3166.419921875,3121.4277
2018-11-28,3168.2900390625,3176.3938
2018-11-29,3174.15991210938,3179.364
2018-11-30,3173.1298828125,3185.0261
2018-12-03,3214.98999023438,3181.1355
2018-12-04,3189.25,3189.4216
2018-12-05,3150.27001953125,3192.7463
2018-12-06,3045.93994140625,3195.1309
2018-12-07,3058.53002929688,3174.3655
2018-12-10,3016.98999023438,3172.5947
2018-12-11,3055.32006835938,3163.5737
2018-12-12,3107.96997070312,3069.4993
2018-12-13,3112.169921875,3063.2258
2018-12-14,3092.60009765625,3071.5515
2018-12-17,3063.64990234375,3077.1282
2018-12-18,3040.1298828125,3074.429
2018-12-19,3051.3798828125,3042.6956
2018-12-20,3000.06005859375,3042.7837
2018-12-21,3000.61010742188,3053.349
2018-12-27,2937.36010742188,3055.7534
2018-12-28,2986.53002929688,3068.175
